t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
2.874.977.348.814.570	0.489057	0.00491289	1029063.	0.79697	0.677526	0.962953	964.525	104.691
2.884.977.348.814.570	0.488383	0.00488698	1030487.	0.797552	0.678985	0.96303	957.548	103.915
2.894.977.348.814.570	0.487712	0.00486127	1031903.	0.798131	0.680438	0.963105	950.633	103.145
2.904.977.348.814.570	0.487045	0.00483574	1033311.	0.798709	0.681885	0.963181	943.777	102.383
2.914.977.348.814.570	0.486381	0.0048104	1034712.	0.799285	0.683326	0.963256	936.981	101.627
2.924.977.348.814.570	0.485721	0.00478524	1036106.	0.799859	0.684762	0.96333	930.243	100.878
2.934.977.348.814.570	0.485064	0.00476026	1037493.	0.800431	0.686192	0.963405	923.564	100.135
2.944.977.348.814.570	0.484411	0.00473546	1038872.	0.801001	0.687617	0.963478	916.943	993.993
2.954.977.348.814.570	0.483761	0.00471084	1040244.	0.80157	0.689036	0.963552	910.378	986.698
2.964.977.348.814.570	0.483114	0.0046864	1041609.	0.802137	0.690449	0.963625	903.871	979.466
2.974.977.348.814.570	0.48247	0.00466214	1042967.	0.802701	0.691857	0.963697	897.418	972.299
2.984.977.348.814.570	0.48183	0.00463805	1044318.	0.803265	0.69326	0.963769	891.022	965.193
2.994.977.348.814.570	0.481193	0.00461413	1045662.	0.803826	0.694657	0.963841	884.679	95.815
3.004.977.348.814.570	0.48056	0.00459038	1046999.	0.804386	0.696049	0.963912	878.391	951.169
3.014.977.348.814.570	0.479929	0.0045668	1048329.	0.804943	0.697435	0.963983	872.157	944.248
3.024.977.348.814.570	0.479302	0.00454338	1049653.	0.805499	0.698816	0.964053	865.975	937.387
3.034.977.348.814.570	0.478678	0.00452013	1050969.	0.806054	0.700192	0.964124	859.846	930.585
3.044.977.348.814.570	0.478057	0.00449705	1052279.	0.806606	0.701563	0.964193	853.769	923.842
